v/cg/affine0/biases/read	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(4096)'], ['(4096)', ' -t f32'], 0, 1000, 2000, [1552507291911813000, 1552507291911813000, 1552507291911814000, 1552507291911815000], 1]}
tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_3_grad/mul	Mul	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(192)', ' 1:', '(1)'], ['(192)', ' -t f32'], 1000, 11000, 13000, [1552507291918651000, 1552507291918652000, 1552507291918662000, 1552507291918664000], 1]}
tower_0/v/l2_loss/L2Loss_15	L2Loss	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(1001)'], ['(1)', ' -t f32'], 0, 15000, 17000, [1552507291911851000, 1552507291911851000, 1552507291911866000, 1552507291911868000], 1]}
tower_0/v/cg/affine1/xw_plus_b	BiasAdd	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x4096)', ' 1:', '(4096)'], ['(128x4096)', ' -t f32 -data_format NHWC'], 1000, 46000, 48000, [1552507291968490000, 1552507291968491000, 1552507291968536000, 1552507291968538000], 1]}
tower_0/v/l2_loss/L2Loss_10	L2Loss	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(9216x4096)'], ['(1)', ' -t f32'], 1000, 937000, 939000, [1552507291913652000, 1552507291913653000, 1552507291914589000, 1552507291914591000], 1]}
tower_0/v/gradients/AddN_2	AddN	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(4096)', ' 1:', '(4096)'], ['(4096)', ' -N i: 2 -t f32'], 0, 12000, 15000, [1552507291973565000, 1552507291973565000, 1552507291973577000, 1552507291973580000], 1]}
tower_0/v/alexnet_synthetic_labels	RandomUniformInt	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(1)', ' 1:', '(1)', ' 2:', '(1)'], ['(128)', ' -t i32 -Tout i32 -seed i: 123 -seed2 i: 16'], 0, 39000, 42000, [1552507291911684000, 1552507291911684000, 1552507291911723000, 1552507291911726000], 1]}
tower_0/v/gradients/tower_0/v/cg/conv2/Relu_grad/ReluGrad	ReluGrad	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x384x13x13)', ' 1:', '(128x384x13x13)'], ['(128x384x13x13)', ' -t f32'], 0, 649000, 652000, [1552507292020339000, 1552507292020339000, 1552507292020988000, 1552507292020991000], 1]}
train_ops_group	NoOp	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:(none)'], ['(none)'], 200, 700, 1000, [1552507292057616000, 1552507292057616200, 1552507292057616700, 1552507292057617000], 1]}
tower_0/v/l2_loss/L2Loss_11	L2Loss	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(4096)'], ['(1)', ' -t f32'], 0, 16000, 18000, [1552507291913620000, 1552507291913620000, 1552507291913636000, 1552507291913638000], 1]}
tower_0/v/gradients/tower_0/v/cg/conv4/BiasAdd_grad/BiasAddGrad	BiasAddGrad	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x256x13x13)'], ['(256)', ' -t f32 -data_format NHWC'], 1000, 189000, 192000, [1552507291995145000, 1552507291995146000, 1552507291995334000, 1552507291995337000], 1]}
v/cg/conv3/conv2d/kernel	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:(none)'], ['(3x3x384x384)', ' -t f32'], 0, 2000, 3000, [1552507291911665000, 1552507291911665000, 1552507291911667000, 1552507291911668000], 1]}
tower_0/v/cg/dropout0/dropout/dropout/add	Add	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(1)', ' 1:', '(128x4096)'], ['(128x4096)', ' -t f32'], 0, 37000, 39000, [1552507291919234000, 1552507291919234000, 1552507291919271000, 1552507291919273000], 1]}
append_apply_gradient_ops/GradientDescent/update_v/cg/conv0/biases/ApplyGradientDescent	ApplyGradientDescent	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(64)', ' 1:', '(1)', ' 2:', '(64)'], ['(64)', ' -t f32 -use_locking 0'], 1000, 12000, 15000, [1552507292057573000, 1552507292057574000, 1552507292057585000, 1552507292057588000], 1]}
tower_0/v/cg/conv4/BiasAdd	BiasAdd	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x256x13x13)', ' 1:', '(256)'], ['(128x256x13x13)', ' -t f32 -data_format NHWC'], 1000, 368000, 370000, [1552507291962947000, 1552507291962948000, 1552507291963315000, 1552507291963317000], 1]}
tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(128x384x13x13)', ' 1:', '(4)', ' 2:', '(128x384x13x13)'], ['(3x3x384x384)', ' -t f32 -data_format NHWC -p s -cudnn 1'], 0, 8742000, 8746000, [1552507292011488000, 1552507292011488000, 1552507292020230000, 1552507292020234000], 1]}
tower_0/v/gradients/AddN_8	AddN	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(384)', ' 1:', '(384)'], ['(384)', ' -N i: 2 -t f32'], 0, 11000, 14000, [1552507292020994000, 1552507292020994000, 1552507292021005000, 1552507292021008000], 1]}
tower_0/v/l2_loss/L2Loss_7	L2Loss	{'/job:localhost/replica:0/task:0/device:GPU:0': [[' 0:', '(384)'], ['(1)', ' -t f32'], 0, 11000, 13000, [1552507291918935000, 1552507291918935000, 1552507291918946000, 1552507291918948000], 1]}
