sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.00,-46.733,-87.735,L2Loss,GPU-0,0:(4096x4096)->(1) -t f32,aggregated,432973.684,812842.105,-379868.421,379868.421,0.533,557393.695,432973.684,1.000,812842.105,1.000,1.000
0.00,-8.238,-8.978,AddN,GPU-0,0:(11x11x3x64) 1:(11x11x3x64)->(11x11x3x64) -N i: 2 -t f32,aggregated,10552.632,11500.000,-947.368,947.368,0.918,1025.412,10552.632,1.000,11500.000,1.000,1.000
0.00,-63.597,-174.704,L2Loss,GPU-0,0:(4096)->(1) -t f32,aggregated,31105.263,85447.368,-54342.105,54342.105,0.364,88902.144,15552.632,2.000,42723.684,2.000,1.000
0.00,-5.263,-5.556,Identity,GPU-0,0:(256)->(256) -t f32,aggregated,710.526,750.000,-39.474,39.474,0.947,41.552,710.526,1.000,750.000,1.000,1.000
0.00,-76.874,-332.410,Mul,GPU-0,0:(5x5x64x192) 1:(1)->(5x5x64x192) -t f32,aggregated,19000.000,82157.895,-63157.895,63157.895,0.231,111709.768,19000.000,1.000,41078.947,2.000,0.500
0.00,-58.679,-142.010,Mul,GPU-0,0:(256) 1:(1)->(256) -t f32,aggregated,10210.526,24710.526,-14500.000,14500.000,0.413,23008.520,10210.526,1.000,12355.263,2.000,0.500
0.00,-24.183,-31.897,VariableV2,GPU-0,0:(none)->(4096) -t f32,aggregated,3052.632,4026.316,-973.684,973.684,0.758,1209.150,1526.316,2.000,2013.158,2.000,1.000
0.00,-11.765,-13.333,VariableV2,GPU-0,0:(none)->(3x3x384x384) -t f32,aggregated,1578.947,1789.474,-210.527,210.527,0.882,235.295,1578.947,1.000,1789.474,1.000,1.000
0.00,-54.545,-120.000,VariableV2,GPU-0,0:(none)->(4096x4096) -t f32,aggregated,1447.368,3184.211,-1736.843,1736.843,0.455,2684.212,1447.368,1.000,3184.211,1.000,1.000
0.00,-32.269,-47.644,L2Loss,GPU-0,0:(64)->(1) -t f32,aggregated,10052.632,14842.105,-4789.473,4789.473,0.677,6335.012,10052.632,1.000,14842.105,1.000,1.000
0.00,-4.286,-4.478,Identity,GPU-0,0:(4096x1001)->(4096x1001) -t f32,aggregated,881.579,921.053,-39.474,39.474,0.957,41.166,881.579,1.000,921.053,1.000,1.000
