reason,op name,device,input tensors -> output tensors,full path,sys1 total (ns),sys2 total (ns),sys1 time for 1 occurence (ns),sys1 occurences,sys2 time for 1 occurence (ns),sys2 occurences
unique to sys1,MaxPool,GPU-0,0:(128x256x13x13)->(128x256x6x6) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,288868.421,0,288868.421,1.0,0,0
unique to sys1,ReluGrad,GPU-0,0:(128x64x55x55) 1:(128x64x55x55)->(128x64x55x55) -t f32,aggregated,1918631.579,0,1918631.579,1.0,0,0
unique to sys1,Conv2DBackpropInput,GPU-0,0:(4) 1:(3x3x192x384) 2:(128x384x13x13)->(128x192x13x13) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,5014578.947,0,5014578.947,1.0,0,0
unique to sys1,BiasAdd,GPU-0,0:(128x192x27x27) 1:(192)->(128x192x27x27) -t f32 -data_format NHWC,aggregated,1262631.579,0,1262631.579,1.0,0,0
unique to sys1,MatMul,GPU-0,0:(128x4096) 1:(4096x4096)->(128x4096) -t f32 -tr_a 0 -tr_b 1,aggregated,1388631.579,0,1388631.579,1.0,0,0
unique to sys1,BiasAdd,GPU-0,0:(128x256x13x13) 1:(256)->(128x256x13x13) -t f32 -data_format NHWC,aggregated,372736.842,0,372736.842,1.0,0,0
unique to sys1,BiasAddGrad,GPU-0,0:(128x4096)->(4096) -t f32 -data_format NHWC,aggregated,74657.895,0,37328.947,2.0,0,0
unique to sys1,Const,GPU-0,0:(none)->(128) -t f32 -Tdim i32,aggregated,1447.368,0,1447.368,1.0,0,0
unique to sys1,VariableV2,GPU-0,0:(none)->(128x227x227x3) -t f32,aggregated,1842.105,0,1842.105,1.0,0,0
unique to sys1,BiasAdd,GPU-0,0:(128x64x55x55) 1:(64)->(128x64x55x55) -t f32 -data_format NHWC,aggregated,1627684.211,0,1627684.211,1.0,0,0
unique to sys1,BiasAddGrad,GPU-0,0:(128x64x55x55)->(64) -t f32 -data_format NHWC,aggregated,650447.368,0,650447.368,1.0,0,0
unique to sys1,BiasAddGrad,GPU-0,0:(128x384x13x13)->(384) -t f32 -data_format NHWC,aggregated,515394.737,0,257697.368,2.0,0,0
unique to sys1,RandomUniform,GPU-0,0:(2)->(128x4096) -t i32 -t f32 -seed i: 123 -seed2 i: 144,aggregated,27631.579,0,27631.579,1.0,0,0
unique to sys1,MatMul,GPU-0,0:(128x4096) 1:(128x1001)->(4096x1001) -t f32 -tr_a 1 -tr_b 0,aggregated,342657.895,0,342657.895,1.0,0,0
unique to sys1,Conv2D,GPU-0,0:(128x64x27x27) 1:(5x5x64x192)->(128x192x27x27) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,4721526.316,0,4721526.316,1.0,0,0
unique to sys1,Conv2DBackpropInput,GPU-0,0:(4) 1:(3x3x384x384) 2:(128x384x13x13)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,9093394.737,0,9093394.737,1.0,0,0
unique to sys1,MatMul,GPU-0,0:(128x4096) 1:(128x4096)->(4096x4096) -t f32 -tr_a 1 -tr_b 0,aggregated,1254421.053,0,1254421.053,1.0,0,0
unique to sys1,Floor,GPU-0,0:(128x4096)->(128x4096) -t f32,aggregated,77473.684,0,38736.842,2.0,0,0
unique to sys1,Identity,GPU-0,0:(128x227x227x3)->(128x227x227x3) -t f32,aggregated,776.316,0,776.316,1.0,0,0
unique to sys1,MaxPool,GPU-0,0:(128x192x27x27)->(128x192x13x13) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,1411078.947,0,1411078.947,1.0,0,0
unique to sys1,BiasAdd,GPU-0,0:(128x1001) 1:(1001)->(128x1001) -t f32 -data_format NHWC,aggregated,15500.0,0,15500.0,1.0,0,0
unique to sys1,Relu,GPU-0,0:(128x4096)->(128x4096) -t f32,aggregated,74447.368,0,37223.684,2.0,0,0
unique to sys1,Mul,GPU-0,0:(128x4096) 1:(128x4096)->(128x4096) -t f32,aggregated,205921.053,0,51480.263,4.0,0,0
unique to sys1,Conv2DBackpropFilter,GPU-0,0:(128x192x13x13) 1:(4) 2:(128x384x13x13)->(3x3x192x384) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,5761447.368,0,5761447.368,1.0,0,0
unique to sys1,MaxPoolGrad,GPU-0,0:(128x192x27x27) 1:(128x192x13x13) 2:(128x192x13x13)->(128x192x27x27) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,1267842.105,0,1267842.105,1.0,0,0
unique to sys1,MaxPool,GPU-0,0:(128x64x55x55)->(128x64x27x27) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,1232894.737,0,1232894.737,1.0,0,0
unique to sys1,Conv2DBackpropInput,GPU-0,0:(4) 1:(3x3x384x256) 2:(128x256x13x13)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,6253631.579,0,6253631.579,1.0,0,0
unique to sys1,MatMul,GPU-0,0:(128x4096) 1:(4096x1001)->(128x1001) -t f32 -tr_a 0 -tr_b 0,aggregated,376605.263,0,376605.263,1.0,0,0
