sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.18,37.570,27.310,Floor,GPU-0,0:(128x4096)->(128x4096) -t fX,aggregated,77473.684,56315.789,21157.895,21157.895,1.376,29106.936,38736.842,2.000,28157.895,2.000,1.000
0.17,36.326,26.646,Add,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t fX,aggregated,77131.579,56578.947,20552.632,20552.632,1.363,28018.495,38565.789,2.000,28289.474,2.000,1.000
0.17,5.662,5.359,BiasAdd,GPU-0,0:(128x256x13x13) 1:(256)->(128x256x13x13) -t fX -data_format NHWC,aggregated,372736.842,352763.158,19973.684,19973.684,1.057,21104.607,372736.842,1.000,352763.158,1.000,1.000
0.17,67.112,40.160,AddN,GPU-0,0:(16x1)->(1) -N i: 16 -t fX,aggregated,49342.105,29526.316,19815.789,19815.789,1.671,33114.620,49342.105,1.000,29526.316,1.000,1.000
0.16,1.039,1.028,Transpose,GPU-0,0:(128x227x227x3) 1:(4)->(128x3x227x227),aggregated,1860947.368,1841815.789,19131.579,19131.579,1.010,19330.305,1860947.368,1.000,1841815.789,1.000,1.000
0.06,31.964,24.222,AddN,GPU-0,0:(4096) 1:(4096)->(4096) -N i: 2 -t fX,aggregated,31289.474,23710.526,7578.948,7578.948,1.320,10001.520,15644.737,2.000,11855.263,2.000,1.000
0.06,3.042,2.952,SparseSoftmaxCrossEntropyWithLogits,GPU-0,0:(128x1001) 1:(128)->(128)(128x1001) -t fX -Tlabels i32,aggregated,246026.316,238763.158,7263.158,7263.158,1.030,7484.103,246026.316,1.000,238763.158,1.000,1.000
0.05,509.375,83.590,Const,GPU-0,0:(none)->(1) -t fX,aggregated,7697.368,1263.158,6434.210,6434.210,6.094,39208.462,1539.474,5.000,1263.158,1.000,5.000
0.05,6.696,6.276,ReluGrad,GPU-0,0:(128x4096) 1:(128x4096)->(128x4096) -t fX,aggregated,102315.789,95894.737,6421.052,6421.052,1.067,6851.002,51157.895,2.000,47947.368,2.000,1.000
0.04,1.366,1.348,ApplyGradientDescent,GPU-0,0:(4096x1001) 1:(1) 2:(4096x1001)->(4096x1001) -t fX -use_locking 0,aggregated,322210.526,317868.421,4342.105,4342.105,1.014,4401.418,322210.526,1.000,317868.421,1.000,1.000
