Node	Time
4e-09	MEMCPY-0	MEMCPYDtoH	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
0.099123456	GPU-0	BiasAddGrad	64 	128x64x55x55	-	0.6ms 0TOps 160GBs
0.143328	GPU-0	BiasAdd	128x192x27x27 	128x192x27x27	192	1.9ms 0TOps 80GBs
1.2e-08	GPU-0	Mul	1 	1	1	0.0ms 0TOps 0GBs
1.2012e-05	GPU-0	AddN	1001 -N i: 2 	1001	1001	0.0ms 0TOps 0GBs
0.134217732	GPU-0	Mul	4096x4096 	4096x4096	1	0.9ms 0TOps 150GBs
0.019010048	GPU-0	MatMul	128x4096 B'	128x1001	4096x1001	0.4ms 3TOps 50GBs
0.004194304	GPU-0	Floor	128x4096 	128x4096	-	0.0ms 0TOps 140GBs
0.004194308	GPU-0	Add	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
0.2973696	GPU-0	ReluGrad	128x64x55x55 	128x64x55x55	128x64x55x55	1.9ms 0TOps 160GBs
0.052494352	GPU-0	Conv2DBackpropInput	128x192x13x13 same_pad lib	3x3x192x384	128x384x13x13	5.0ms 6TOps 10GBs
0.0	CPU-0	Identity	1 	none	-	0.0ms 0TOps 0GBs
0.178364672	GPU-0	Conv2D	128x64x55x55 str1441 lib	128x3x227x227	11x11x3x64	6.4ms 3TOps 30GBs
1.028e-06	GPU-0	L2Loss	1 	256	-	0.0ms 0TOps 0GBs
8.012e-06	GPU-0	Mul	1001 	1001	1	0.0ms 0TOps 0GBs
0.0	CPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
1.2e-08	CPU-0	AssignAdd	1 i64 -use_locking 0	1	1	0.0ms 0TOps 0GBs
0.033228288	GPU-0	BiasAddGrad	384 	128x384x13x13	-	0.2ms 0TOps 150GBs
0.201326592	GPU-0	AddN	4096x4096 -N i: 2 	4096x4096	4096x4096	1.3ms 0TOps 160GBs
2.6e-07	GPU-0	L2Loss	1 	64	-	0.0ms 0TOps 0GBs
0.004210688	GPU-0	BiasAdd	128x4096 	128x4096	4096	0.0ms 0TOps 140GBs
0.099680256	GPU-0	ReluGrad	128x384x13x13 	128x384x13x13	128x384x13x13	0.6ms 0TOps 160GBs
0.066453504	GPU-0	Relu	128x384x13x13 	128x384x13x13	-	0.4ms 0TOps 150GBs
0.452984832	GPU-0	AddN	9216x4096 -N i: 2 	9216x4096	9216x4096	2.9ms 0TOps 160GBs
1.54e-06	GPU-0	L2Loss	1 	384	-	0.0ms 0TOps 0GBs
0.004194304	GPU-0	Relu	128x4096 	128x4096	-	0.0ms 0TOps 150GBs
0.201326596	GPU-0	ApplyGradientDescent	4096x4096 -use_locking 0	4096x4096	1 4096x4096	1.3ms 0TOps 160GBs
0.066453504	GPU-0	Relu	128x384x13x13 	128x384x13x13	-	0.5ms 0TOps 140GBs
0.02686976	GPU-0	MaxPool	128x256x6x6 ksize1331  str1221	128x256x13x13	-	0.3ms 0TOps 100GBs
0.004194308	GPU-0	Mul	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
0.157810688	GPU-0	MatMul	9216x4096 A'	128x9216	128x4096	2.8ms 3TOps 60GBs
3.072e-06	GPU-0	AddN	256 -N i: 2 	256	256	0.0ms 0TOps 0GBs
0.006291456	GPU-0	Mul	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
0.002654212	GPU-0	L2Loss	1 	3x3x192x384	-	0.0ms 0TOps 100GBs
6.8e-08	GPU-0	AddN	1 -N i: 16 	16x1	-	0.0ms 0TOps 0GBs
0.002457604	GPU-0	Mul	5x5x64x192 	5x5x64x192	1	0.0ms 0TOps 240GBs
0.004194308	GPU-0	Mul	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
0.0036864	GPU-0	AddN	5x5x64x192 -N i: 2 	5x5x64x192	5x5x64x192	0.0ms 0TOps 150GBs
0.198246656	GPU-0	BiasAdd	128x64x55x55 	128x64x55x55	64	1.6ms 0TOps 120GBs
0.071303168	GPU-0	MatMul	128x4096 	128x4096	4096x4096	1.4ms 3TOps 50GBs
1.6388e-05	GPU-0	L2Loss	1 	4096	-	0.0ms 0TOps 0GBs
0.000516516	GPU-0	BiasAddGrad	1001 	128x1001	-	0.0ms 0TOps 90GBs
0.006291456	GPU-0	Mul	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
0.044302336	GPU-0	Relu	128x256x13x13 	128x256x13x13	-	0.3ms 0TOps 150GBs
0.096780304	GPU-0	Conv2DBackpropInput	128x64x27x27 same_pad lib	5x5x64x192	128x192x27x27	4.5ms 13TOps 20GBs
0.019010048	GPU-0	MatMul	4096x1001 A'	128x4096	128x1001	0.3ms 3TOps 60GBs
0.0094372	GPU-0	Transpose	128x6x6x256 	128x256x6x6	4	0.1ms 0TOps 130GBs
0.004210688	GPU-0	BiasAdd	128x4096 	128x4096	4096	0.0ms 0TOps 140GBs
0.010616836	GPU-0	ApplyGradientDescent	3x3x384x256 -use_locking 0	3x3x384x256	1 3x3x384x256	0.1ms 0TOps 160GBs
0.006291456	GPU-0	ReluGrad	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
0.06645504	GPU-0	BiasAdd	128x384x13x13 	128x384x13x13	384	0.5ms 0TOps 120GBs
0.007962628	GPU-0	ApplyGradientDescent	3x3x192x384 -use_locking 0	3x3x192x384	1 3x3x192x384	0.1ms 0TOps 150GBs
0.214990848	GPU-0	ReluGrad	128x192x27x27 	128x192x27x27	128x192x27x27	1.4ms 0TOps 150GBs
4.612e-06	GPU-0	ApplyGradientDescent	384 -use_locking 0	384	1 384	0.0ms 0TOps 0GBs
2.304e-06	GPU-0	AddN	192 -N i: 2 	192	192	0.0ms 0TOps 0GBs
0.096780304	GPU-0	Conv2DBackpropFilter	5x5x64x192 same_pad lib	128x64x27x27	128x192x27x27	5.1ms 11TOps 20GBs
2.308e-06	GPU-0	ApplyGradientDescent	192 -use_locking 0	192	1 192	0.0ms 0TOps 0GBs
0.067108868	GPU-0	L2Loss	1 	4096x4096	-	0.4ms 0TOps 160GBs
0.006291456	GPU-0	Mul	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
4.608e-06	GPU-0	AddN	384 -N i: 2 	384	384	0.0ms 0TOps 0GBs
