Node	Time
1000.0	MEMCPY-0	MEMCPYDtoH	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
270842.1052631579	GPU-0	MaxPool	128x256x6x6 ksize1331  str1221	128x256x13x13	-	0.3ms 0TOps 100GBs
28789.473684210523	GPU-0	Mul	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
2836473.6842105263	GPU-0	MatMul	9216x4096 A'	128x9216	128x4096	2.8ms 3TOps 60GBs
2184.2105263157896	GPU-0	AddN	256 -N i: 2 	256	256	0.0ms 0TOps 0GBs
41894.73684210526	GPU-0	Mul	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
26921.052631578947	GPU-0	L2Loss	1 	3x3x192x384	-	0.0ms 0TOps 100GBs
5105.263157894737	GPU-0	AddN	1 -N i: 16 	16x1	-	0.0ms 0TOps 0GBs
10078.947368421053	GPU-0	Mul	5x5x64x192 	5x5x64x192	1	0.0ms 0TOps 240GBs
28842.105263157893	GPU-0	Mul	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
24868.42105263158	GPU-0	AddN	5x5x64x192 -N i: 2 	5x5x64x192	5x5x64x192	0.0ms 0TOps 150GBs
1627868.4210526315	GPU-0	BiasAdd	128x64x55x55 	128x64x55x55	64	1.6ms 0TOps 120GBs
1377684.2105263157	GPU-0	MatMul	128x4096 	128x4096	4096x4096	1.4ms 3TOps 50GBs
6710.526315789473	GPU-0	L2Loss	1 	4096	-	0.0ms 0TOps 0GBs
5473.684210526316	GPU-0	BiasAddGrad	1001 	128x1001	-	0.0ms 0TOps 90GBs
41868.42105263158	GPU-0	Mul	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
289947.36842105264	GPU-0	Relu	128x256x13x13 	128x256x13x13	-	0.3ms 0TOps 150GBs
4478578.947368421	GPU-0	Conv2DBackpropInput	128x64x27x27 same_pad lib	5x5x64x192	128x192x27x27	4.5ms 13TOps 20GBs
334500.0	GPU-0	MatMul	4096x1001 A'	128x4096	128x1001	0.3ms 3TOps 60GBs
73263.15789473684	GPU-0	Transpose	128x6x6x256 	128x256x6x6	4	0.1ms 0TOps 130GBs
30315.78947368421	GPU-0	BiasAdd	128x4096 	128x4096	4096	0.0ms 0TOps 140GBs
65842.1052631579	GPU-0	ApplyGradientDescent	3x3x384x256 -use_locking 0	3x3x384x256	1 3x3x384x256	0.1ms 0TOps 160GBs
41631.57894736842	GPU-0	ReluGrad	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
542078.947368421	GPU-0	BiasAdd	128x384x13x13 	128x384x13x13	384	0.5ms 0TOps 120GBs
52921.052631578954	GPU-0	ApplyGradientDescent	3x3x192x384 -use_locking 0	3x3x192x384	1 3x3x192x384	0.1ms 0TOps 150GBs
1391289.4736842106	GPU-0	ReluGrad	128x192x27x27 	128x192x27x27	128x192x27x27	1.4ms 0TOps 150GBs
2447.3684210526317	GPU-0	ApplyGradientDescent	384 -use_locking 0	384	1 384	0.0ms 0TOps 0GBs
2105.2631578947367	GPU-0	AddN	192 -N i: 2 	192	192	0.0ms 0TOps 0GBs
5083289.47368421	GPU-0	Conv2DBackpropFilter	5x5x64x192 same_pad lib	128x64x27x27	128x192x27x27	5.1ms 11TOps 20GBs
