Node	Time
949.9777777777778	MEMCPY-0	MEMCPYDtoH	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
2199.3777777777773	GPU-0	ApplyGradientDescent	384 -use_locking 0	384	1 384	0.0ms 0TOps 0GBs
17023.48888888888	GPU-0	Mul	4096x1001 	4096x1001	1	0.2ms 0TOps 160GBs
4123.31111111111	GPU-0	Relu	128x4096 	128x4096	-	0.0ms 0TOps 150GBs
1638.6	GPU-0	Mul	256 	256	1	0.0ms 0TOps 0GBs
19546.11111111111	GPU-0	Transpose	128x256x6x6 	128x6x6x256	4	0.1ms 0TOps 120GBs
5568209.08888889	GPU-0	Conv2D	128x256x13x13 same_pad lib	128x384x13x13	3x3x384x256	6.2ms 6TOps 10GBs
13586.733333333323	GPU-0	L2Loss	1 	4096x1001	-	0.1ms 0TOps 150GBs
492061.51111111115	GPU-0	MaxPoolGrad	128x256x13x13 ksize1331  str1221	128x256x13x13	128x256x6x6 128x256x6x6	0.8ms 0TOps 60GBs
1870.7111111111112	GPU-0	L2Loss	1 	192	-	0.0ms 0TOps 0GBs
23832.266666666677	GPU-0	BiasAddGrad	256 	128x256x13x13	-	0.2ms 0TOps 140GBs
2316.444444444445	GPU-0	L2Loss	1 	384	-	0.0ms 0TOps 0GBs
5495884.0	GPU-0	Conv2DBackpropFilter	3x3x384x256 same_pad lib	128x384x13x13	128x256x13x13	6.1ms 6TOps 10GBs
6351.377777777787	GPU-0	ApplyGradientDescent	3x3x384x384 -use_locking 0	3x3x384x384	1 3x3x384x384	0.1ms 0TOps 160GBs
3873.2888888888883	GPU-0	Add	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
2126.9333333333334	GPU-0	AddN	4096 -N i: 2 	4096	4096	0.0ms 0TOps 20GBs
3394.977777777778	GPU-0	ApplyGradientDescent	5x5x64x192 -use_locking 0	5x5x64x192	1 5x5x64x192	0.0ms 0TOps 150GBs
10158.133333333335	GPU-0	BiasAddGrad	4096 	128x4096	-	0.0ms 0TOps 90GBs
36763.86666666664	GPU-0	ReluGrad	128x256x13x13 	128x256x13x13	128x256x13x13	0.4ms 0TOps 160GBs
703.377777777765	GPU-0	Mul	3x3x384x256 	3x3x384x256	1	0.0ms 0TOps 170GBs
931396.2888888887	GPU-0	MatMul	128x4096 B'	128x4096	4096x4096	1.4ms 3TOps 50GBs
2576.911111111111	GPU-0	ApplyGradientDescent	4096 -use_locking 0	4096	1 4096	0.0ms 0TOps 20GBs
2407.911111111111	GPU-0	ApplyGradientDescent	256 -use_locking 0	256	1 256	0.0ms 0TOps 0GBs
9626.400000000009	GPU-0	AddN	3x3x384x384 -N i: 2 	3x3x384x384	3x3x384x384	0.1ms 0TOps 150GBs
6842.599999999991	GPU-0	AddN	3x3x384x256 -N i: 2 	3x3x384x256	3x3x384x256	0.1ms 0TOps 150GBs
1092.4444444444446	GPU-0	Mul	11x11x3x64 	11x11x3x64	1	0.0ms 0TOps 80GBs
2070.711111111111	GPU-0	ApplyGradientDescent	64 -use_locking 0	64	1 64	0.0ms 0TOps 0GBs
241517.57777777733	GPU-0	ApplyGradientDescent	9216x4096 -use_locking 0	9216x4096	1 9216x4096	2.9ms 0TOps 160GBs
29573.399999999994	GPU-0	BiasAddGrad	384 	128x384x13x13	-	0.2ms 0TOps 150GBs
383.17777777777883	GPU-0	BiasAdd	128x1001 	128x1001	1001	0.0ms 0TOps 160GBs
4628464.8	GPU-0	Conv2D	128x384x13x13 same_pad lib	128x192x13x13	3x3x192x384	5.2ms 6TOps 10GBs
1542.9333333333332	GPU-0	Mul	4096 	4096	1	0.0ms 0TOps 20GBs
8107547.577777778	GPU-0	Conv2DBackpropFilter	3x3x384x384 same_pad lib	128x384x13x13	128x384x13x13	9.0ms 6TOps 10GBs
807746.2888888889	GPU-0	MatMul	4096x4096 A'	128x4096	128x4096	1.3ms 3TOps 60GBs
