sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.00,-0.165,-0.166,ApplyGradientDescent,GPU-0,0:(4096x4096) 1:(1) 2:(4096x4096)->(4096x4096) -t f32 -use_locking 0,aggregated,1286789.474,1288921.053,-2131.579,2131.579,0.998,2135.104,1286789.474,1.000,1288921.053,1.000,1.000
0.00,-0.123,-0.123,ReluGrad,GPU-0,0:(128x192x27x27) 1:(128x192x27x27)->(128x192x27x27) -t f32,aggregated,1389578.947,1391289.474,-1710.527,1710.527,0.999,1712.630,1389578.947,1.000,1391289.474,1.000,1.000
0.00,-0.484,-0.486,Conv2DBackpropInput,GPU-0,0:(4) 1:(3x3x192x384) 2:(128x384x13x13)->(128x192x13x13) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,5014578.947,5038947.368,-24368.421,24368.421,0.995,24486.267,5014578.947,1.000,5038947.368,1.000,1.000
0.00,-1.733,-1.764,MaxPoolGrad,GPU-0,0:(128x64x55x55) 1:(128x64x27x27) 2:(128x64x27x27)->(128x64x55x55) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,2115815.789,2153131.579,-37315.790,37315.790,0.983,37962.508,2115815.789,1.000,2153131.579,1.000,1.000
0.00,-0.693,-0.697,ApplyGradientDescent,GPU-0,0:(9216x4096) 1:(1) 2:(9216x4096)->(9216x4096) -t f32 -use_locking 0,aggregated,2883157.895,2903263.158,-20105.263,20105.263,0.993,20244.493,2883157.895,1.000,2903263.158,1.000,1.000
0.00,-0.275,-0.276,Conv2DBackpropFilter,GPU-0,0:(128x64x27x27) 1:(4) 2:(128x192x27x27)->(5x5x64x192) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,5069289.474,5083289.474,-14000.000,14000.000,0.997,14038.558,5069289.474,1.000,5083289.474,1.000,1.000
0.00,-1.297,-1.314,MatMul,GPU-0,0:(128x9216) 1:(128x4096)->(9216x4096) -t f32 -tr_a 1 -tr_b 0,aggregated,2799684.211,2836473.684,-36789.473,36789.473,0.987,37266.638,2799684.211,1.000,2836473.684,1.000,1.000
0.00,-1.277,-1.293,MatMul,GPU-0,0:(128x4096) 1:(9216x4096)->(128x9216) -t f32 -tr_a 0 -tr_b 1,aggregated,2793763.158,2829894.737,-36131.579,36131.579,0.987,36592.900,2793763.158,1.000,2829894.737,1.000,1.000
0.00,-1.993,-2.033,Relu,GPU-0,0:(128x384x13x13)->(128x384x13x13) -t f32,aggregated,887894.737,905947.368,-18052.631,18052.631,0.980,18412.362,443947.368,2.000,452973.684,2.000,1.000
0.00,-1.545,-1.569,Conv2DBackpropFilter,GPU-0,0:(128x3x227x227) 1:(4) 2:(128x64x55x55)->(11x11x3x64) -t f32 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,aggregated,7122000.000,7233763.158,-111763.158,111763.158,0.985,113489.922,7122000.000,1.000,7233763.158,1.000,1.000
0.00,-0.658,-0.662,Conv2D,GPU-0,0:(128x384x13x13) 1:(3x3x384x256)->(128x256x13x13) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,6164973.684,6205815.789,-40842.105,40842.105,0.993,41110.898,6164973.684,1.000,6205815.789,1.000,1.000
