sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.35,70.171,41.236,L2Loss,GPU-0,0:(3x3x384x256)->(1) -t f32,aggregated,52394.737,30789.474,21605.263,21605.263,1.702,36765.879,52394.737,1.000,30789.474,1.000,1.000
0.35,438.044,81.414,L2Loss,GPU-0,0:(384)->(1) -t f32,aggregated,26052.632,4842.105,21210.527,21210.527,5.380,114121.865,13026.316,2.000,2421.053,2.000,1.000
0.34,561.268,84.878,Mul,GPU-0,0:(256) 1:(1)->(256) -t f32,aggregated,24710.526,3736.842,20973.684,20973.684,6.613,138692.180,12355.263,2.000,1868.421,2.000,1.000
0.34,505.732,83.491,Cast,GPU-0,0:(384)->(384) -DstT f32 -SrcT f16,aggregated,25026.316,4131.579,20894.737,20894.737,6.057,126566.209,12513.158,2.000,2065.789,2.000,1.000
0.33,715.596,87.739,Cast,GPU-0,0:(384)->(384) -DstT f16 -SrcT f32,aggregated,23394.737,2868.421,20526.316,20526.316,8.156,167411.884,11697.368,2.000,1434.211,2.000,1.000
0.33,48.731,32.765,L2Loss,GPU-0,0:(3x3x384x384)->(1) -t f32,aggregated,61684.211,41473.684,20210.527,20210.527,1.487,30059.312,61684.211,1.000,41473.684,1.000,1.000
0.33,1.120,1.108,Cast,GPU-0,0:(9216x4096)->(9216x4096) -DstT f32 -SrcT f16,aggregated,1808210.526,1788184.211,20026.315,20026.315,1.011,20250.595,1808210.526,1.000,1788184.211,1.000,1.000
0.32,53.901,35.023,Add,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f16,aggregated,56578.947,36763.158,19815.789,19815.789,1.539,30496.740,28289.474,2.000,18381.579,2.000,1.000
0.32,458.385,82.091,AddN,GPU-0,0:(384) 1:(384)->(384) -N i: 2 -t f32,aggregated,23657.895,4236.842,19421.053,19421.053,5.584,108444.269,11828.947,2.000,2118.421,2.000,1.000
0.31,435.714,81.333,Mul,GPU-0,0:(11x11x3x64) 1:(1)->(11x11x3x64) -t f32,aggregated,23684.211,4421.053,19263.158,19263.158,5.357,103195.483,11842.105,2.000,2210.526,2.000,1.000
0.31,440.000,81.481,Cast,GPU-0,0:(4096)->(4096) -DstT f32 -SrcT f16,aggregated,23447.368,4342.105,19105.263,19105.263,5.400,103168.425,11723.684,2.000,2171.053,2.000,1.000
0.30,382.609,79.279,ApplyGradientDescent,GPU-0,0:(384) 1:(1) 2:(384)->(384) -t f32 -use_locking 0,aggregated,23368.421,4842.105,18526.316,18526.316,4.826,89409.617,11684.211,2.000,2421.053,2.000,1.000
0.30,348.259,77.691,AddN,GPU-0,0:(4096) 1:(4096)->(4096) -N i: 2 -t f32,aggregated,23710.526,5289.474,18421.052,18421.052,4.483,82573.963,11855.263,2.000,2644.737,2.000,1.000
0.29,25.498,20.318,BiasAdd,GPU-0,0:(128x4096) 1:(4096)->(128x4096) -t f16 -data_format NHWC,aggregated,86131.579,68631.579,17500.000,17500.000,1.255,21962.232,43065.789,2.000,34315.789,2.000,1.000
0.28,43.914,30.514,Floor,GPU-0,0:(128x4096)->(128x4096) -t f16,aggregated,56315.789,39131.579,17184.210,17184.210,1.439,24730.470,28157.895,2.000,19565.789,2.000,1.000
0.26,6.562,6.158,MaxPool,GPU-0,0:(128x256x13x13)->(128x256x6x6) -t f16 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,263263.158,247052.632,16210.526,16210.526,1.066,17274.191,263263.158,1.000,247052.632,1.000,1.000
0.25,37.063,27.041,RandomUniform,GPU-0,0:(2)->(128x4096) -t i32 -t f16 -seed i: 123 -seed2 i: 191,aggregated,55763.158,40684.211,15078.947,15078.947,1.371,20667.716,55763.158,1.000,40684.211,1.000,1.000
0.24,660.465,86.850,Sum,GPU-0,0:(128) 1:(1)->(1) -t f32 -Tidx i32 -keep_dims b: 0,aggregated,17210.526,2263.158,14947.368,14947.368,7.605,113669.512,17210.526,1.000,2263.158,1.000,1.000
0.24,2.230,2.181,Cast,GPU-0,0:(4096x4096)->(4096x4096) -DstT f16 -SrcT f32,aggregated,681631.579,666763.158,14868.421,14868.421,1.022,15199.978,681631.579,1.000,666763.158,1.000,1.000
0.24,116.667,53.846,Relu,GPU-0,0:(128x4096)->(128x4096) -t f16,aggregated,27026.316,12473.684,14552.632,14552.632,2.167,31530.703,13513.158,2.000,6236.842,2.000,1.000
0.23,662.963,86.893,AddN,GPU-0,0:(192) 1:(192)->(192) -N i: 2 -t f32,aggregated,16263.158,2131.579,14131.579,14131.579,7.630,107818.712,16263.158,1.000,2131.579,1.000,1.000
0.22,18.876,15.878,Transpose,GPU-0,0:(128x256x6x6) 1:(4)->(128x6x6x256),aggregated,84026.316,70684.211,13342.105,13342.105,1.189,15860.514,84026.316,1.000,70684.211,1.000,1.000
0.21,717.392,87.766,L2Loss,GPU-0,0:(64)->(1) -t f32,aggregated,14842.105,1815.789,13026.316,13026.316,8.174,106476.000,14842.105,1.000,1815.789,1.000,1.000
0.21,33.065,24.849,RandomUniform,GPU-0,0:(2)->(128x4096) -t i32 -t f16 -seed i: 123 -seed2 i: 161,aggregated,52210.526,39236.842,12973.684,12973.684,1.331,17263.440,52210.526,1.000,39236.842,1.000,1.000
0.21,457.547,82.064,ApplyGradientDescent,GPU-0,0:(1001) 1:(1) 2:(1001)->(1001) -t f32 -use_locking 0,aggregated,15552.632,2789.474,12763.158,12763.158,5.575,71160.620,15552.632,1.000,2789.474,1.000,1.000
0.20,7.823,7.255,Cast,GPU-0,0:(4096x1001)->(4096x1001) -DstT f16 -SrcT f32,aggregated,172657.895,160131.579,12526.316,12526.316,1.078,13506.189,172657.895,1.000,160131.579,1.000,1.000
0.20,16.066,13.842,Transpose,GPU-0,0:(128x6x6x256) 1:(4)->(128x256x6x6),aggregated,86500.000,74526.316,11973.684,11973.684,1.161,13897.422,86500.000,1.000,74526.316,1.000,1.000
0.19,1.733,1.703,Relu,GPU-0,0:(128x64x55x55)->(128x64x55x55) -t f16,aggregated,690710.526,678947.368,11763.158,11763.158,1.017,11966.962,690710.526,1.000,678947.368,1.000,1.000
0.18,216.244,68.379,Mul,GPU-0,0:(128) 1:(128x1001)->(128x1001) -t f32,aggregated,16394.737,5184.211,11210.526,11210.526,3.162,35452.574,16394.737,1.000,5184.211,1.000,1.000
0.18,769.091,88.494,Cast,GPU-0,0:(64)->(64) -DstT f16 -SrcT f32,aggregated,12578.947,1447.368,11131.579,11131.579,8.691,96743.566,12578.947,1.000,1447.368,1.000,1.000
0.18,526.582,84.040,AddN,GPU-0,0:(256) 1:(256)->(256) -N i: 2 -t f32,aggregated,13026.316,2078.947,10947.369,10947.369,6.266,68594.287,13026.316,1.000,2078.947,1.000,1.000
0.18,538.961,84.350,Cast,GPU-0,0:(192)->(192) -DstT f32 -SrcT f16,aggregated,12947.368,2026.316,10921.052,10921.052,6.390,69781.258,12947.368,1.000,2026.316,1.000,1.000
0.18,5.305,5.038,BiasAddGrad,GPU-0,0:(128x256x13x13)->(256) -t f16 -data_format NHWC,aggregated,215736.842,204868.421,10868.421,10868.421,1.053,11444.999,215736.842,1.000,204868.421,1.000,1.000
0.18,540.789,84.394,L2Loss,GPU-0,0:(192)->(1) -t f32,aggregated,12815.789,2000.000,10815.789,10815.789,6.408,69306.435,12815.789,1.000,2000.000,1.000,1.000
0.17,460.465,82.158,AddN,GPU-0,0:(1001) 1:(1001)->(1001) -N i: 2 -t f32,aggregated,12684.211,2263.158,10421.053,10421.053,5.605,58406.366,12684.211,1.000,2263.158,1.000,1.000
0.17,448.276,81.761,ApplyGradientDescent,GPU-0,0:(256) 1:(1) 2:(256)->(256) -t f32 -use_locking 0,aggregated,12552.632,2289.474,10263.158,10263.158,5.483,56270.412,12552.632,1.000,2289.474,1.000,1.000
0.17,320.661,76.228,Cast,GPU-0,0:(128x1001)->(128x1001) -DstT f32 -SrcT f16,aggregated,13394.737,3184.211,10210.526,10210.526,4.207,42951.711,13394.737,1.000,3184.211,1.000,1.000
0.17,1.680,1.653,BiasAddGrad,GPU-0,0:(128x384x13x13)->(384) -t f16 -data_format NHWC,aggregated,616236.842,606052.632,10184.210,10184.210,1.017,10355.347,308118.421,2.000,303026.316,2.000,1.000
0.16,31.097,23.720,Cast,GPU-0,0:(3x3x384x256)->(3x3x384x256) -DstT f16 -SrcT f32,aggregated,42157.895,32157.895,10000.000,10000.000,1.311,13109.656,42157.895,1.000,32157.895,1.000,1.000
0.16,484.416,82.889,Cast,GPU-0,0:(256)->(256) -DstT f32 -SrcT f16,aggregated,11842.105,2026.316,9815.789,9815.789,5.844,57364.993,11842.105,1.000,2026.316,1.000,1.000
0.16,488.158,82.998,Add,GPU-0,0:(1) 1:(1)->(1) -t f32,aggregated,11763.158,2000.000,9763.158,9763.158,5.882,57422.785,11763.158,1.000,2000.000,1.000,1.000
0.15,311.404,75.693,Cast,GPU-0,0:(128x1001)->(128x1001) -DstT f16 -SrcT f32,aggregated,12342.105,3000.000,9342.105,9342.105,4.114,38433.747,12342.105,1.000,3000.000,1.000,1.000
0.15,6.240,5.874,Relu,GPU-0,0:(128x256x13x13)->(128x256x13x13) -t f16,aggregated,158605.263,149289.474,9315.789,9315.789,1.062,9897.102,158605.263,1.000,149289.474,1.000,1.000
0.15,0.717,0.712,AddN,GPU-0,0:(4096x4096) 1:(4096x4096)->(4096x4096) -N i: 2 -t f32,aggregated,1293052.632,1283842.105,9210.527,9210.527,1.007,9276.605,1293052.632,1.000,1283842.105,1.000,1.000
0.15,0.723,0.717,ApplyGradientDescent,GPU-0,0:(4096x4096) 1:(1) 2:(4096x4096)->(4096x4096) -t f32 -use_locking 0,aggregated,1283868.421,1274657.895,9210.526,9210.526,1.007,9277.080,1283868.421,1.000,1274657.895,1.000,1.000
0.15,391.011,79.634,ApplyGradientDescent,GPU-0,0:(192) 1:(1) 2:(192)->(192) -t f32 -use_locking 0,aggregated,11500.000,2342.105,9157.895,9157.895,4.910,44966.298,11500.000,1.000,2342.105,1.000,1.000
0.15,475.342,82.619,Cast,GPU-0,0:(64)->(64) -DstT f32 -SrcT f16,aggregated,11052.632,1921.053,9131.579,9131.579,5.753,52537.844,11052.632,1.000,1921.053,1.000,1.000
0.15,1.196,1.182,Cast,GPU-0,0:(4096x4096)->(4096x4096) -DstT f32 -SrcT f16,aggregated,763736.842,754710.526,9026.316,9026.316,1.012,9134.270,763736.842,1.000,754710.526,1.000,1.000
0.15,391.954,79.673,L2Loss,GPU-0,0:(256)->(1) -t f32,aggregated,11263.158,2289.474,8973.684,8973.684,4.920,44146.394,11263.158,1.000,2289.474,1.000,1.000
0.14,23.319,18.910,Cast,GPU-0,0:(3x3x384x256)->(3x3x384x256) -DstT f32 -SrcT f16,aggregated,46342.105,37578.947,8763.158,8763.158,1.233,10806.668,46342.105,1.000,37578.947,1.000,1.000
0.14,31.161,23.758,Cast,GPU-0,0:(3x3x192x384)->(3x3x192x384) -DstT f32 -SrcT f16,aggregated,36552.632,27868.421,8684.211,8684.211,1.312,11390.339,36552.632,1.000,27868.421,1.000,1.000
0.14,17.347,14.783,Cast,GPU-0,0:(3x3x384x384)->(3x3x384x384) -DstT f16 -SrcT f32,aggregated,58210.526,49605.263,8605.263,8605.263,1.173,10098.059,58210.526,1.000,49605.263,1.000,1.000
0.14,423.377,80.893,AddN,GPU-0,0:(64) 1:(64)->(64) -N i: 2 -t f32,aggregated,10605.263,2026.316,8578.947,8578.947,5.234,44900.198,10605.263,1.000,2026.316,1.000,1.000
0.14,538.333,84.334,Cast,GPU-0,0:(192)->(192) -DstT f16 -SrcT f32,aggregated,10078.947,1578.947,8500.000,8500.000,6.383,54258.344,10078.947,1.000,1578.947,1.000,1.000
0.14,14.954,13.008,Cast,GPU-0,0:(3x3x384x384)->(3x3x384x384) -DstT f32 -SrcT f16,aggregated,65342.105,56842.105,8500.000,8500.000,1.150,9771.065,65342.105,1.000,56842.105,1.000,1.000
0.14,443.056,81.586,Cast,GPU-0,0:(1001)->(1001) -DstT f32 -SrcT f16,aggregated,10289.474,1894.737,8394.737,8394.737,5.431,45588.083,10289.474,1.000,1894.737,1.000,1.000
0.14,580.000,85.294,Cast,GPU-0,0:(256)->(256) -DstT f16 -SrcT f32,aggregated,9842.105,1447.368,8394.737,8394.737,6.800,57084.227,9842.105,1.000,1447.368,1.000,1.000
0.13,32.911,24.762,AddN,GPU-0,0:(5x5x64x192) 1:(5x5x64x192)->(5x5x64x192) -N i: 2 -t f32,aggregated,33157.895,24947.368,8210.527,8210.527,1.329,10912.726,33157.895,1.000,24947.368,1.000,1.000
0.13,2.609,2.543,AddN,GPU-0,0:(4096x1001) 1:(4096x1001)->(4096x1001) -N i: 2 -t f32,aggregated,321894.737,313710.526,8184.211,8184.211,1.026,8397.724,321894.737,1.000,313710.526,1.000,1.000
0.13,60.352,37.637,Cast,GPU-0,0:(5x5x64x192)->(5x5x64x192) -DstT f32 -SrcT f16,aggregated,21605.263,13473.684,8131.579,8131.579,1.604,13039.114,21605.263,1.000,13473.684,1.000,1.000
0.13,34.448,25.622,ApplyGradientDescent,GPU-0,0:(5x5x64x192) 1:(1) 2:(5x5x64x192)->(5x5x64x192) -t f32 -use_locking 0,aggregated,31736.842,23605.263,8131.579,8131.579,1.344,10932.758,31736.842,1.000,23605.263,1.000,1.000
0.13,0.978,0.968,MaxPoolGrad,GPU-0,0:(128x256x13x13) 1:(128x256x6x6) 2:(128x256x6x6)->(128x256x13x13) -t f16 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,837131.579,829026.316,8105.263,8105.263,1.010,8184.507,837131.579,1.000,829026.316,1.000,1.000
0.13,387.342,79.481,Cast,GPU-0,0:(11x11x3x64)->(11x11x3x64) -DstT f32 -SrcT f16,aggregated,10131.579,2078.947,8052.632,8052.632,4.873,39243.847,10131.579,1.000,2078.947,1.000,1.000
0.13,11.613,10.405,ApplyGradientDescent,GPU-0,0:(3x3x384x256) 1:(1) 2:(3x3x384x256)->(3x3x384x256) -t f32 -use_locking 0,aggregated,77394.737,69342.105,8052.632,8052.632,1.116,8987.776,77394.737,1.000,69342.105,1.000,1.000
0.13,2.599,2.533,ApplyGradientDescent,GPU-0,0:(4096x1001) 1:(1) 2:(4096x1001)->(4096x1001) -t f32 -use_locking 0,aggregated,317868.421,309815.789,8052.632,8052.632,1.026,8261.933,317868.421,1.000,309815.789,1.000,1.000
0.13,32.973,24.797,Cast,GPU-0,0:(3x3x192x384)->(3x3x192x384) -DstT f16 -SrcT f32,aggregated,32368.421,24342.105,8026.316,8026.316,1.330,10672.831,32368.421,1.000,24342.105,1.000,1.000
0.13,218.978,68.650,AddN,GPU-0,0:(11x11x3x64) 1:(11x11x3x64)->(11x11x3x64) -N i: 2 -t f32,aggregated,11500.000,3605.263,7894.737,7894.737,3.190,25182.483,11500.000,1.000,3605.263,1.000,1.000
0.13,75.188,42.918,BiasAdd,GPU-0,0:(128x1001) 1:(1001)->(128x1001) -t f16 -data_format NHWC,aggregated,18394.737,10500.000,7894.737,7894.737,1.752,13830.630,18394.737,1.000,10500.000,1.000,1.000
0.13,4.525,4.329,Cast,GPU-0,0:(4096x1001)->(4096x1001) -DstT f32 -SrcT f16,aggregated,180526.316,172710.526,7815.790,7815.790,1.045,8169.483,180526.316,1.000,172710.526,1.000,1.000
