sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.38,19.935,16.622,Transpose,GPU-0,0:(128x256x6x6) 1:(4)->(128x6x6x256),tower_0/v/cg/mpool2/MaxPool-1-0-TransposeNCHWToNHWC-LayoutOptimizer,87868.421,73263.158,14605.263,14605.263,1.199,17516.873,87868.421,1.000,73263.158,1.000,1.000
0.38,693.671,87.400,Mul,GPU-0,0:(1001) 1:(1)->(1001) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_15_grad/mul,16500.000,2078.947,14421.053,14421.053,7.937,114455.696,16500.000,1.000,2078.947,1.000,1.000
0.36,60.274,37.607,BiasAddGrad,GPU-0,0:(128x4096)->(4096) -t f32 -data_format NHWC,tower_0/v/gradients/tower_0/v/cg/affine1/xw_plus_b_grad/BiasAddGrad,36947.368,23052.632,13894.737,13894.737,1.603,22269.647,36947.368,1.000,23052.632,1.000,1.000
0.36,57.993,36.706,BiasAddGrad,GPU-0,0:(128x4096)->(4096) -t f32 -data_format NHWC,tower_0/v/gradients/tower_0/v/cg/affine0/xw_plus_b_grad/BiasAddGrad,37710.526,23868.421,13842.105,13842.105,1.580,21869.611,37710.526,1.000,23868.421,1.000,1.000
0.35,46.892,31.923,Mul,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f32,tower_0/v/cg/dropout0/dropout/dropout/div,42289.474,28789.474,13500.000,13500.000,1.469,19830.439,42289.474,1.000,28789.474,1.000,1.000
0.33,16.916,14.468,Transpose,GPU-0,0:(128x6x6x256) 1:(4)->(128x256x6x6),tower_0/v/gradients/tower_0/v/cg/mpool2/MaxPool_grad/MaxPoolGrad-2-TransposeNHWCToNCHW-LayoutOptimizer,88578.947,75763.158,12815.789,12815.789,1.169,14983.657,88578.947,1.000,75763.158,1.000,1.000
0.33,44.343,30.721,Mul,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f32,tower_0/v/gradients/tower_0/v/cg/dropout0_1/dropout/dropout/mul_grad/Mul,41631.579,28842.105,12789.474,12789.474,1.443,18460.718,41631.579,1.000,28842.105,1.000,1.000
0.32,66.332,39.879,RandomUniform,GPU-0,0:(2)->(128x4096) -t i32 -t f32 -seed i: 123 -seed2 i: 172,tower_0/v/cg/dropout0_1/dropout/dropout/random_uniform/RandomUniform,30552.632,18368.421,12184.211,12184.211,1.663,20266.287,30552.632,1.000,18368.421,1.000,1.000
0.31,321.986,76.303,L2Loss,GPU-0,0:(1001)->(1) -t f32,tower_0/v/l2_loss/L2Loss_15,15657.895,3710.526,11947.368,11947.368,4.220,50416.200,15657.895,1.000,3710.526,1.000,1.000
0.30,40.386,28.768,Add,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f32,tower_0/v/cg/dropout0_1/dropout/dropout/add,40157.895,28605.263,11552.632,11552.632,1.404,16218.322,40157.895,1.000,28605.263,1.000,1.000
