37949.11111111111	GPU-0	RandomUniform	128x4096 i32 -t  f16 -seed i: 123 -seed2 i: 161	2	-	0.1ms 0TOps 40GBs
1024.9997658079626	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
444554.68888888904	GPU-0	BiasAdd	128x64x55x55 f16	128x64x55x55	64	1.6ms 0TOps 120GBs
108398.4	GPU-0	BiasAddGrad	384 f16	128x384x13x13	-	0.3ms 0TOps 110GBs
1574.9997658079624	GPU-0	VariableV2	3x3x384x256 	none	-	0.0ms 0TOps 0GBs
229402.8580796253	GPU-0	MatMul	4096x4096 f16 A'	128x4096	128x4096	1.3ms 3TOps 50GBs
10749.933333333334	GPU-0	Mul	1 	1	1	0.0ms 0TOps 0GBs
8117.444444444445	GPU-0	Mul	11x11x3x64 	11x11x3x64	1	0.0ms 0TOps 20GBs
712.4997658079625	GPU-0	Identity	256 	256	-	0.0ms 0TOps 0GBs
101193.91111111105	GPU-0	ApplyGradientDescent	4096x4096 -use_locking 0	4096x4096	1 4096x4096	1.3ms 0TOps 160GBs
319422.2666666666	GPU-0	MaxPool	128x192x13x13 f16  ksize1331  str1221	128x192x27x27	-	0.9ms 0TOps 100GBs
1824.9997658079624	GPU-0	VariableV2	4096x1001 	none	-	0.0ms 0TOps 0GBs
9320.71111111111	GPU-0	ApplyGradientDescent	64 -use_locking 0	64	1 64	0.0ms 0TOps 0GBs
10517.600000000006	GPU-0	AddN	3x3x384x256 -N i: 2 	3x3x384x256	3x3x384x256	0.1ms 0TOps 150GBs
9032.933333333334	GPU-0	Cast	384 -DstT f16 -SrcT f32 	384	-	0.0ms 0TOps 0GBs
55117.95555555556	GPU-0	Cast	4096 -DstT f16 -SrcT f32 	4096	-	0.1ms 0TOps 0GBs
1258.800000000003	GPU-0	Cast	3x3x192x384 -DstT f16 -SrcT f32 	3x3x192x384	-	0.0ms 0TOps 160GBs
5748.288888888896	GPU-0	Add	128x4096 f16	1	128x4096	0.0ms 0TOps 140GBs
787.4997658079624	GPU-0	Const	1 i32	none	-	0.0ms 0TOps 0GBs
40078.40000000014	GPU-0	Cast	9216x4096 -DstT f32 -SrcT f16 	9216x4096	-	1.8ms 0TOps 170GBs
649.9997658079626	GPU-0	Identity	11x11x3x64 	11x11x3x64	-	0.0ms 0TOps 0GBs
774.9997658079626	GPU-0	Identity	9216x4096 	9216x4096	-	0.0ms 0TOps 0GBs
13157.933333333332	GPU-0	Cast	384 -DstT f16 -SrcT f32 	384	-	0.0ms 0TOps 0GBs
11947.155555555557	GPU-0	Cast	64 -DstT f16 -SrcT f32 	64	-	0.0ms 0TOps 0GBs
737.4997658079625	GPU-0	Const	1 i32	none	-	0.0ms 0TOps 0GBs
11174.933333333334	GPU-0	Add	1 	1	1	0.0ms 0TOps 0GBs
30855.466666666667	GPU-0	BiasAddGrad	1001 f16	128x1001	-	0.0ms 0TOps 10GBs
399372.95555555535	GPU-0	L2Loss	1 	4096x4096	-	0.8ms 0TOps 80GBs
8297.466666666667	GPU-0	ReluGrad	128x4096 f16	128x4096	128x4096	0.0ms 0TOps 140GBs
787.4997658079624	GPU-0	Const	4 i32	none	-	0.0ms 0TOps 0GBs
522936.51111111115	GPU-0	MaxPoolGrad	128x256x13x13 f16  ksize1331  str1221	128x256x13x13	128x256x6x6 128x256x6x6	0.8ms 0TOps 60GBs
6030.422222222223	GPU-0	Cast	128x1001 -DstT f16 -SrcT f32 	128x1001	-	0.0ms 0TOps 80GBs
637.4997658079626	GPU-0	Const	1 i32	none	-	0.0ms 0TOps 0GBs
1324.9997658079626	GPU-0	VariableV2	384 	none	-	0.0ms 0TOps 0GBs
699.9997658079626	GPU-0	Identity	3x3x192x384 	3x3x192x384	-	0.0ms 0TOps 0GBs
1049.9997658079626	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
12291.466666666667	GPU-0	Cast	192 -DstT f32 -SrcT f16 	192	-	0.0ms 0TOps 0GBs
724.9997658079625	GPU-0	Const	4 	none	-	0.0ms 0TOps 0GBs
1374.9997658079626	GPU-0	VariableV2	192 	none	-	0.0ms 0TOps 0GBs
10855.488888888889	GPU-0	Mul	1001 	1001	1	0.0ms 0TOps 0GBs
15437.199999999999	GPU-0	AddN	192 -N i: 2 	192	192	0.0ms 0TOps 0GBs
737.4997658079625	GPU-0	Const	1 i32	none	-	0.0ms 0TOps 0GBs
97895.71111111133	GPU-0	MaxPoolGrad	128x64x55x55 f16  ksize1331  str1221	128x64x55x55	128x64x27x27 128x64x27x27	1.4ms 0TOps 160GBs
9566.466666666669	GPU-0	Cast	192 -DstT f16 -SrcT f32 	192	-	0.0ms 0TOps 0GBs
41324.11111111111	GPU-0	RandomUniform	128x4096 i32 -t  f16 -seed i: 123 -seed2 i: 191	2	-	0.1ms 0TOps 40GBs
12170.711111111112	GPU-0	L2Loss	1 	192	-	0.0ms 0TOps 0GBs
12938.199999999997	GPU-0	AddN	3x3x192x384 -N i: 2 	3x3x192x384	3x3x192x384	0.1ms 0TOps 130GBs
