Node	Time
11949.999765807963	GPU-0	Cast	64 -DstT f16 -SrcT f32 	64	-	0.0ms 0TOps 0GBs
737.4997658079625	GPU-0	Const	1 i32	none	-	0.0ms 0TOps 0GBs
11174.999765807963	GPU-0	Add	1 	1	1	0.0ms 0TOps 0GBs
33695.22786885246	GPU-0	BiasAddGrad	1001 f16	128x1001	-	0.0ms 0TOps 10GBs
760412.7290398125	GPU-0	L2Loss	1 	4096x4096	-	0.8ms 0TOps 80GBs
43127.215925058554	GPU-0	ReluGrad	128x4096 f16	128x4096	128x4096	0.0ms 0TOps 140GBs
787.4997658079624	GPU-0	Const	4 i32	none	-	0.0ms 0TOps 0GBs
792512.3583138174	GPU-0	MaxPoolGrad	128x256x13x13 f16  ksize1331  str1221	128x256x13x13	128x256x6x6 128x256x6x6	0.8ms 0TOps 60GBs
11724.999765807961	GPU-0	Cast	128x1001 -DstT f16 -SrcT f32 	128x1001	-	0.0ms 0TOps 80GBs
637.4997658079626	GPU-0	Const	1 i32	none	-	0.0ms 0TOps 0GBs
1324.9997658079626	GPU-0	VariableV2	384 	none	-	0.0ms 0TOps 0GBs
699.9997658079626	GPU-0	Identity	3x3x192x384 	3x3x192x384	-	0.0ms 0TOps 0GBs
1049.9997658079626	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
12299.999765807963	GPU-0	Cast	192 -DstT f32 -SrcT f16 	192	-	0.0ms 0TOps 0GBs
724.9997658079625	GPU-0	Const	4 	none	-	0.0ms 0TOps 0GBs
1374.9997658079626	GPU-0	VariableV2	192 	none	-	0.0ms 0TOps 0GBs
10899.76557377049	GPU-0	Mul	1001 	1001	1	0.0ms 0TOps 0GBs
15449.955035128802	GPU-0	AddN	192 -N i: 2 	192	192	0.0ms 0TOps 0GBs
737.4997658079625	GPU-0	Const	1 i32	none	-	0.0ms 0TOps 0GBs
1317989.1264637003	GPU-0	MaxPoolGrad	128x64x55x55 f16  ksize1331  str1221	128x64x55x55	128x64x27x27 128x64x27x27	1.4ms 0TOps 160GBs
9574.999765807963	GPU-0	Cast	192 -DstT f16 -SrcT f32 	192	-	0.0ms 0TOps 0GBs
12577.215925058548	GPU-0	Relu	128x4096 f16	128x4096	-	0.0ms 0TOps 310GBs
52974.99976580795	GPU-0	RandomUniform	128x4096 i32 -t  f16 -seed i: 123 -seed2 i: 191	2	-	0.1ms 0TOps 40GBs
1053454.2379391103	GPU-0	ReluGrad	128x192x27x27 f16	128x192x27x27	128x192x27x27	1.1ms 0TOps 190GBs
12174.865339578455	GPU-0	L2Loss	1 	192	-	0.0ms 0TOps 0GBs
57019.60140515222	GPU-0	AddN	3x3x192x384 -N i: 2 	3x3x192x384	3x3x192x384	0.1ms 0TOps 130GBs
34849.99976580797	GPU-0	Tile	128 -Tmultiples i32	1	1	0.0ms 0TOps 0GBs
9224.999765807963	CPU-0	VariableV2	1 i64	none	-	0.0ms 0TOps 0GBs
62074.99976580796	GPU-0	Cast	3x3x384x384 -DstT f32 -SrcT f16 	3x3x384x384	-	0.1ms 0TOps 160GBs
12124.040749414518	GPU-0	AddN	4096 -N i: 2 	4096	4096	0.0ms 0TOps 0GBs
3224.999765807963	CPU-0	AssignAdd	1 i64 -use_locking 0	1	1	0.0ms 0TOps 0GBs
14849.04074941452	GPU-0	Mul	4096 	4096	1	0.0ms 0TOps 0GBs
34724.99976580796	GPU-0	Cast	3x3x192x384 -DstT f32 -SrcT f16 	3x3x192x384	-	0.0ms 0TOps 150GBs
13299.999765807963	GPU-0	Mul	1 	1	1	0.0ms 0TOps 0GBs
49153.40585480094	GPU-0	L2Loss	1 	3x3x384x256	-	0.1ms 0TOps 70GBs
12852.215925058548	GPU-0	Relu	128x4096 f16	128x4096	-	0.0ms 0TOps 310GBs
724.9997658079625	GPU-0	Const	4 	none	-	0.0ms 0TOps 0GBs
1824.9997658079624	GPU-0	VariableV2	4096 	none	-	0.0ms 0TOps 0GBs
10749.730444964871	GPU-0	L2Loss	1 	384	-	0.0ms 0TOps 0GBs
724.9997658079625	GPU-0	Identity	4096 	4096	-	0.0ms 0TOps 0GBs
9624.999765807963	GPU-0	Cast	11x11x3x64 -DstT f32 -SrcT f16 	11x11x3x64	-	0.0ms 0TOps 20GBs
774.9997658079626	GPU-0	Identity	384 	384	-	0.0ms 0TOps 0GBs
247613.6224824356	GPU-0	MaxPool	128x256x6x6 f16  ksize1331  str1221	128x256x13x13	-	0.3ms 0TOps 100GBs
24577.215925058546	GPU-0	Add	128x4096 f16	1	128x4096	0.0ms 0TOps 160GBs
1152773.1990632317	GPU-0	MaxPoolGrad	128x192x27x27 f16  ksize1331  str1221	128x192x27x27	128x192x13x13 128x192x13x13	1.2ms 0TOps 130GBs
1451524.9997658078	GPU-0	Cast	9216x4096 -DstT f16 -SrcT f32 	9216x4096	-	1.5ms 0TOps 200GBs
10399.04074941452	GPU-0	AddN	4096 -N i: 2 	4096	4096	0.0ms 0TOps 0GBs
1882084.5466042154	GPU-0	Mul	9216x4096 	9216x4096	1	2.0ms 0TOps 150GBs
1149.9997658079626	GPU-0	Const	1 i32	none	-	0.0ms 0TOps 0GBs
1099.9997658079626	CPU-0	Identity	1 	none	-	0.0ms 0TOps 0GBs
1124.9997658079624	CPU-0	Identity	1 	1	-	0.0ms 0TOps 0GBs
74414.20281030446	GPU-0	Mul	3x3x384x384 	3x3x384x384	1	0.1ms 0TOps 130GBs
624.9997658079626	GPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
69311.28196721314	GPU-0	MatMul	128x4096 f16 B'	128x1001	4096x1001	0.3ms 3TOps 60GBs
624.9997658079626	GPU-0	Identity	384 	384	-	0.0ms 0TOps 0GBs
1199.9997658079626	GPU-0	Const	1 f16	none	-	0.0ms 0TOps 0GBs
26352.215925058546	GPU-0	Mul	128x4096 f16	1	128x4096	0.0ms 0TOps 150GBs
131799.2969555035	GPU-0	L2Loss	1 	1001	-	0.1ms 0TOps 0GBs
874.9997658079627	GPU-0	Identity	4096x1001 	4096x1001	-	0.0ms 0TOps 0GBs
11249.999765807963	GPU-0	Cast	256 -DstT f32 -SrcT f16 	256	-	0.0ms 0TOps 0GBs
41294.60140515222	GPU-0	Mul	3x3x192x384 	3x3x192x384	1	0.0ms 0TOps 120GBs
